Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u/50V","CP_Elec_8x10",175.000000,-59.500000,0.000000,top
"C2","47u/50V","CP_Elec_8x10",189.295000,-56.445000,0.000000,top
"C3","100n/50V","C_0805_2012Metric",191.695000,-68.505000,0.000000,top
"C4","22u/10V tant","CP_EIA-3528-21_Kemet-B",210.575000,-63.885000,0.000000,top
"C5","100n","C_0805_2012Metric",196.485000,-68.505000,0.000000,top
"C8","220n/100V","C_0805_2012Metric",206.065000,-68.505000,0.000000,top
"C13","10n","C_0805_2012Metric",154.245000,-80.075000,0.000000,top
"C14","10n","C_0805_2012Metric",159.035000,-80.075000,0.000000,top
"C15","10n","C_0805_2012Metric",163.825000,-80.075000,0.000000,top
"C16","10n","C_0805_2012Metric",168.615000,-80.075000,0.000000,top
"C17","10n","C_0805_2012Metric",173.405000,-80.075000,0.000000,top
"C18","100n","C_0805_2012Metric",130.745000,-63.575000,0.000000,top
"C19","100n","C_0805_2012Metric",135.535000,-63.575000,0.000000,top
"C20","100n","C_0805_2012Metric",109.745000,-68.365000,0.000000,top
"C21","100n","C_0805_2012Metric",114.535000,-68.365000,0.000000,top
"C22","10n","C_0805_2012Metric",119.325000,-68.365000,0.000000,top
"C23","330n","C_0805_2012Metric",124.115000,-68.365000,0.000000,top
"C24","10u","C_0805_2012Metric",128.905000,-68.365000,0.000000,top
"C25","100n/50V","C_0805_2012Metric",194.535000,-95.525000,0.000000,top
"C26","100n/50V","C_0805_2012Metric",164.535000,-95.525000,0.000000,top
"C27","100n/50V","C_0805_2012Metric",134.535000,-95.525000,0.000000,top
"C28","100n/50V","C_0805_2012Metric",112.035000,-95.525000,0.000000,top
"C29","100n/50V","C_0805_2012Metric",133.695000,-68.365000,0.000000,top
"C31","100n/50V","C_0805_2012Metric",179.045000,-111.315000,0.000000,top
"C32","10n/50V","C_0805_2012Metric",188.000000,-139.800000,0.000000,top
"C33","10u/16V","C_0805_2012Metric",183.835000,-111.315000,0.000000,top
"C35","100n/50V","C_0805_2012Metric",194.045000,-111.315000,0.000000,top
"C36","10n/50V","C_0805_2012Metric",203.000000,-139.800000,0.000000,top
"C37","10u/16V","C_0805_2012Metric",198.835000,-111.315000,0.000000,top
"C39","100n/50V","C_0805_2012Metric",209.045000,-111.315000,0.000000,top
"C40","10n/50V","C_0805_2012Metric",218.000000,-139.800000,0.000000,top
"C41","10u/16V","C_0805_2012Metric",213.835000,-111.315000,0.000000,top
"C43","100n/50V","C_0805_2012Metric",149.045000,-111.315000,0.000000,top
"C44","10n/50V","C_0805_2012Metric",158.000000,-139.800000,0.000000,top
"C45","10u/16V","C_0805_2012Metric",153.835000,-111.315000,0.000000,top
"C47","100n/50V","C_0805_2012Metric",119.045000,-111.315000,0.000000,top
"C48","10n/50V","C_0805_2012Metric",128.000000,-139.800000,0.000000,top
"C49","10u/16V","C_0805_2012Metric",123.835000,-111.315000,0.000000,top
"C51","100n/50V","C_0805_2012Metric",134.045000,-111.315000,0.000000,top
"C52","10n/50V","C_0805_2012Metric",143.000000,-139.800000,0.000000,top
"C53","10u/16V","C_0805_2012Metric",138.835000,-111.315000,0.000000,top
"C55","100n/50V","C_0805_2012Metric",104.045000,-111.315000,0.000000,top
"C56","10n/50V","C_0805_2012Metric",113.000000,-139.800000,0.000000,top
"C57","10u/16V","C_0805_2012Metric",108.835000,-111.315000,0.000000,top
"C59","100n/50V","C_0805_2012Metric",164.045000,-111.315000,0.000000,top
"C60","10n/50V","C_0805_2012Metric",173.000000,-139.800000,0.000000,top
"C61","10u/16V","C_0805_2012Metric",168.835000,-111.315000,0.000000,top
"C62","1u/50V","C_0805_2012Metric",201.275000,-68.505000,0.000000,top
"D1","SMCJ33A","D_SMC",149.000000,-59.500000,90.000000,top
"D2","SS34","D_SMA",187.545000,-63.985000,0.000000,top
"D3","SMBJ33A","D_SMB",209.775000,-54.295000,0.000000,top
"D4","BAV99","SOT-23",167.555000,-70.245000,0.000000,top
"D5","BAV99","SOT-23",172.805000,-70.245000,0.000000,top
"D6","BAV99","SOT-23",178.055000,-70.245000,0.000000,top
"D7","BAV99","SOT-23",143.975000,-80.795000,0.000000,top
"D8","BAV99","SOT-23",149.225000,-80.795000,0.000000,top
"D9","BAT54","SOT-23",120.475000,-64.295000,0.000000,top
"D10","BAT54","SOT-23",137.745000,-53.745000,0.000000,top
"D11","BAT54","SOT-23",109.975000,-64.295000,0.000000,top
"D12","BAT54","SOT-23",115.225000,-64.295000,0.000000,top
"D13","GREEN","LED_0805_2012Metric",178.900000,-142.000000,0.000000,top
"D14","RED","LED_0805_2012Metric",188.605000,-111.285000,0.000000,top
"D15","BAT54","SOT-23",179.275000,-107.245000,0.000000,top
"D16","BAT54","SOT-23",184.525000,-107.245000,0.000000,top
"D17","GREEN","LED_0805_2012Metric",193.900000,-142.000000,0.000000,top
"D18","RED","LED_0805_2012Metric",203.605000,-111.285000,0.000000,top
"D19","BAT54","SOT-23",194.275000,-107.245000,0.000000,top
"D20","BAT54","SOT-23",199.525000,-107.245000,0.000000,top
"D21","GREEN","LED_0805_2012Metric",208.900000,-142.000000,0.000000,top
"D22","RED","LED_0805_2012Metric",218.605000,-111.285000,0.000000,top
"D23","BAT54","SOT-23",209.275000,-107.245000,0.000000,top
"D24","BAT54","SOT-23",214.525000,-107.245000,0.000000,top
"D25","GREEN","LED_0805_2012Metric",148.900000,-142.000000,0.000000,top
"D26","RED","LED_0805_2012Metric",158.605000,-111.285000,0.000000,top
"D27","BAT54","SOT-23",149.275000,-107.245000,0.000000,top
"D28","BAT54","SOT-23",154.525000,-107.245000,0.000000,top
"D29","GREEN","LED_0805_2012Metric",118.900000,-142.000000,0.000000,top
"D30","RED","LED_0805_2012Metric",128.605000,-111.285000,0.000000,top
"D31","BAT54","SOT-23",119.275000,-107.245000,0.000000,top
