Comment,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,LCSC Part #,Type
10k,"R3,R5,R7,R9,R11,R14,R16,R25,R26,R27,R28,R29,R36,R39,R44,R47,R52,R55,R60,R63,R68,R71,R76,R79,R84,R87,R92,R95",R_0805_2012Metric,28,Yageo,RC0805FR-0710KL,,SMD
BAT54,"D9,D10,D11,D12,D15,D16,D19,D20,D23,D24,D27,D28,D31,D32,D35,D36,D39,D40,D43,D44",SOT-23,20,Nexperia,"BAT54,215",,SMD
100n,"C3,C5,C18,C19,C20,C21,C25,C26,C27,C28,C29,C31,C35,C39,C43,C47,C51,C55,C59",C_0805_2012Metric,19,Samsung,CL21B104KBCNNNC,,SMD
1k,"R35,R38,R43,R46,R51,R54,R59,R62,R67,R70,R75,R78,R83,R86,R91,R94,R97",R_0805_2012Metric,17,Yageo,RC0805FR-071KL,,SMD
4k7,"R30,R32,R33,R40,R41,R48,R49,R56,R57,R64,R65,R72,R73,R80,R81,R88,R89",R_0805_2012Metric,17,Yageo,RC0805FR-074K7L,,SMD
10n,"C13,C14,C15,C16,C17,C22,C32,C36,C40,C44,C48,C52,C56,C60",C_0805_2012Metric,14,Samsung,CL21B103KBANNNC,,SMD
10u,"C24,C33,C37,C41,C45,C49,C53,C57,C61",C_0805_2012Metric,9,Samsung,CL21A106KOQNNNE,,SMD
GREEN,"D13,D17,D21,D25,D29,D33,D37,D41",LED_0805_2012Metric,8,Wurth Elektronik,150080GS75000,,SMD
RED,"D14,D18,D22,D26,D30,D34,D38,D42",LED_0805_2012Metric,8,Wurth Elektronik,150080RS75000,,SMD
BTS7002-1EPP,"U10,U11,U12,U13,U14,U15,U16,U17",Infineon_PG-TSDSO-14-22,8,Infineon,BTS70021EPPXUMA1,,SMD
3k9,"R37,R45,R53,R61,R69,R77,R85,R93",R_0805_2012Metric,8,Yageo,RC0805FR-073K9L,,SMD
47R,"R34,R42,R50,R58,R66,R74,R82,R90",R_0805_2012Metric,8,Yageo,RC0805FR-0747RL,,SMD
BAV99,"D4,D5,D6,D7,D8",SOT-23,5,Nexperia,"BAV99,215",,SMD
LM2901AVQDR (-Q1),"U5,U6,U7,U8,U9",SOIC-14_3.9x8.7mm_P1.27mm,5,Texas Instruments,LM2901AVQDRQ1,,SMD
100k,"R18,R19,R20,R21,R31",R_0805_2012Metric,5,Yageo,RC0805FR-07100KL,,SMD
47k,"R4,R6,R8,R10,R12",R_0805_2012Metric,5,Yageo,RC0805FR-0747KL,,SMD
74HC86-Q100,"U3,U4",SOIC-14_3.9x8.7mm_P1.27mm,2,Nexperia,74HC86D-Q100J,,SMD
47u/50V,"C1,C2",CP_Elec_8x10,2,Panasonic,EEE-FK1H470P,,SMD
0.5A PTC 1812L050/33,F1,Fuse_1812_4532Metric,1,Littelfuse,1812L050/33MR,,SMD
BSP75N,Q2,SOT-223-3_TabPin2,1,Infineon,BSP75NH6327XTSA1,,SMD
BSS84,Q1,SOT-23,1,Nexperia,"BSS84,215",,SMD
1u/50V,C62,C_0805_2012Metric,1,Samsung,CL21B105KBFNNNE,,SMD
330n,C23,C_0805_2012Metric,1,Samsung,CL21B334KBFNNNE,,SMD
220n/100V,C8,C_0805_2012Metric,1,Murata,GCM21BR72A224KA37L,,SMD
LM2937IMP-5.0,U1,SOT-223-3_TabPin2,1,Texas Instruments,LM2937IMP-5.0/NOPB,,SMD
1M,R22,R_0805_2012Metric,1,Yageo,RC0805FR-071ML,,SMD
22k,R23,R_0805_2012Metric,1,Yageo,RC0805FR-0722KL,,SMD
300k,R24,R_0805_2012Metric,1,Yageo,RC0805FR-07300KL,,SMD
35k7 1%,R13,R_0805_2012Metric,1,Yageo,RC0805FR-0735K7L,,SMD
66k5 1%,R15,R_0805_2012Metric,1,Yageo,RC0805FR-0766K5L,,SMD
68k1 1%,R17,R_0805_2012Metric,1,Yageo,RC0805FR-0768K1L,,SMD
470R,R96,R_1206_3216Metric,1,Yageo,RC1206FR-07470RL,,SMD
18V 1W SMAZ18,D45,D_SMA,1,Diodes Inc.,SMAZ18-13-F,,SMD
SMBJ33A,D3,D_SMB,1,Littelfuse,SMBJ33A,,SMD
SMCJ33A,D1,D_SMC,1,Littelfuse,SMCJ33A,,SMD
SS34,D2,D_SMA,1,Vishay,SS34-E3/61T,,SMD
22u/10V tant,C4,CP_EIA-3528-21_Kemet-B,1,KEMET,T491B226K010AT,,SMD
LS/+12V,"JP1,JP2,JP3",PinHeader_1x03_P2.54mm_Vertical,3,Wurth Elektronik,61300311121,,THT
HCCPHPE24BKA90F,J1,Aptiv_SICMA_HCCPHPE24BKA90F_24P_RA,1,Amphenol FCI,HCCPHPE24BKA90F,,THT
