Designator,Mid X,Mid Y,Layer,Rotation
C1,75.050mm,106.550mm,Top,0
C2,89.345mm,109.605mm,Top,0
C3,91.745mm,97.545mm,Top,0
C4,110.625mm,102.165mm,Top,0
C5,96.535mm,97.545mm,Top,0
C8,106.115mm,97.545mm,Top,0
C13,54.295mm,85.975mm,Top,0
C14,59.085mm,85.975mm,Top,0
C15,63.875mm,85.975mm,Top,0
C16,68.665mm,85.975mm,Top,0
C17,73.455mm,85.975mm,Top,0
C18,30.795mm,102.475mm,Top,0
C19,35.585mm,102.475mm,Top,0
C20,9.795mm,97.685mm,Top,0
C21,14.585mm,97.685mm,Top,0
C22,19.375mm,97.685mm,Top,0
C23,24.165mm,97.685mm,Top,0
C24,28.955mm,97.685mm,Top,0
C25,94.585mm,70.525mm,Top,0
C26,64.585mm,70.525mm,Top,0
C27,34.585mm,70.525mm,Top,0
C28,12.085mm,70.525mm,Top,0
C29,33.745mm,97.685mm,Top,0
C31,79.095mm,54.735mm,Top,0
C32,88.050mm,26.250mm,Top,0
C33,83.885mm,54.735mm,Top,0
C35,94.095mm,54.735mm,Top,0
C36,103.050mm,26.250mm,Top,0
C37,98.885mm,54.735mm,Top,0
C39,109.095mm,54.735mm,Top,0
C40,118.050mm,26.250mm,Top,0
C41,113.885mm,54.735mm,Top,0
C43,49.095mm,54.735mm,Top,0
C44,58.050mm,26.250mm,Top,0
C45,53.885mm,54.735mm,Top,0
C47,19.095mm,54.735mm,Top,0
C48,28.050mm,26.250mm,Top,0
C49,23.885mm,54.735mm,Top,0
C51,34.095mm,54.735mm,Top,0
C52,43.050mm,26.250mm,Top,0
C53,38.885mm,54.735mm,Top,0
C55,4.095mm,54.735mm,Top,0
C56,13.050mm,26.250mm,Top,0
C57,8.885mm,54.735mm,Top,0
C59,64.095mm,54.735mm,Top,0
C60,73.050mm,26.250mm,Top,0
C61,68.885mm,54.735mm,Top,0
C62,101.325mm,97.545mm,Top,0
D1,49.050mm,106.550mm,Top,90
D2,87.595mm,102.065mm,Top,0
D3,109.825mm,111.755mm,Top,0
D4,67.605mm,95.805mm,Top,0
D5,72.855mm,95.805mm,Top,0
D6,78.105mm,95.805mm,Top,0
D7,44.025mm,85.255mm,Top,0
D8,49.275mm,85.255mm,Top,0
D9,20.525mm,101.755mm,Top,0
D10,37.795mm,112.305mm,Top,0
D11,10.025mm,101.755mm,Top,0
D12,15.275mm,101.755mm,Top,0
D13,78.950mm,24.050mm,Top,0
D14,88.655mm,54.765mm,Top,0
D15,79.325mm,58.805mm,Top,0
D16,84.575mm,58.805mm,Top,0
D17,93.950mm,24.050mm,Top,0
D18,103.655mm,54.765mm,Top,0
D19,94.325mm,58.805mm,Top,0
D20,99.575mm,58.805mm,Top,0
D21,108.950mm,24.050mm,Top,0
D22,118.655mm,54.765mm,Top,0
D23,109.325mm,58.805mm,Top,0
D24,114.575mm,58.805mm,Top,0
D25,48.950mm,24.050mm,Top,0
D26,58.655mm,54.765mm,Top,0
D27,49.325mm,58.805mm,Top,0
D28,54.575mm,58.805mm,Top,0
D29,18.950mm,24.050mm,Top,0
D30,28.655mm,54.765mm,Top,0
D31,19.325mm,58.805mm,Top,0
D32,24.575mm,58.805mm,Top,0
D33,33.950mm,24.050mm,Top,0
D34,43.655mm,54.765mm,Top,0
D35,34.325mm,58.805mm,Top,0
D36,39.575mm,58.805mm,Top,0
D37,3.950mm,24.050mm,Top,0
D38,13.655mm,54.765mm,Top,0
D39,4.325mm,58.805mm,Top,0
D40,9.575mm,58.805mm,Top,0
D41,63.950mm,24.050mm,Top,0
D42,73.655mm,54.765mm,Top,0
D43,64.325mm,58.805mm,Top,0
D44,69.575mm,58.805mm,Top,0
D45,95.985mm,102.065mm,Top,0
F1,103.825mm,101.865mm,Top,0
J1,87.020mm,15.950mm,Top,0
JP1,52.655mm,95.735mm,Top,0
JP2,57.585mm,95.735mm,Top,0
JP3,62.515mm,95.735mm,Top,0
Q1,25.775mm,101.755mm,Top,0
Q2,30.075mm,110.405mm,Top,0
R3,53.275mm,81.215mm,Top,0
R4,58.025mm,81.215mm,Top,0
R5,62.775mm,81.215mm,Top,0
R6,67.525mm,81.215mm,Top,0
R7,72.275mm,81.215mm,Top,0
R8,77.025mm,81.215mm,Top,0
R9,43.775mm,77.925mm,Top,0
R10,78.225mm,86.005mm,Top,0
R11,43.775mm,81.215mm,Top,0
R12,48.525mm,81.215mm,Top,0
R13,9.775mm,94.365mm,Top,0
R14,14.525mm,94.365mm,Top,0
R15,19.275mm,94.365mm,Top,0
